iter	RMSE
0	14.540995
1	14.20780091
2	13.83980841
3	13.47725667
4	13.13838585
5	12.86023335
6	12.54857622
7	12.27892274
8	11.99273397
9	11.70232982
10	11.41376767
11	11.16958029
12	10.92293439
13	10.68323725
14	10.45208736
15	10.21528864
16	10.04691693
17	9.833748734
18	9.632185615
19	9.453054399
20	9.272544766
21	9.097367405
22	8.954062985
23	8.787522839
24	8.633235278
25	8.487222874
26	8.355227172
27	8.218795615
28	8.096507203
29	7.98018188
30	7.86776288
31	7.758404497
32	7.655907241
33	7.552771009
34	7.452050673
35	7.354348803
36	7.266090826
37	7.175467056
38	7.087897297
39	7.007438482
40	6.935537191
41	6.870412779
42	6.804394555
43	6.74250265
44	6.681548742
45	6.617680362
46	6.567655827
47	6.510595194
48	6.460234879
49	6.408670197
50	6.361838865
51	6.319918433
52	6.277327246
53	6.246735513
54	6.19908307
55	6.162760944
56	6.121273299
57	6.085309615
58	6.044928444
59	6.00909698
60	5.97680192
61	5.944245324
62	5.919021092
63	5.893652591
64	5.859060388
65	5.829702133
66	5.800643555
67	5.773335252
68	5.750950081
69	5.731898939
70	5.713144097
71	5.691633809
72	5.671330771
73	5.650727683
74	5.631804938
75	5.615707283
76	5.601331764
77	5.586906424
78	5.568453881
79	5.554277263
80	5.538473398
81	5.524848102
82	5.510115863
83	5.498068773
84	5.484019787
85	5.467017914
86	5.452393903
87	5.440870155
88	5.427164261
89	5.416742279
90	5.406463528
91	5.397300517
92	5.386849305
93	5.378145912
94	5.368682555
95	5.355290445
96	5.346187084
97	5.33753659
98	5.329864374
99	5.319813905
100	5.312555276
101	5.29916546
102	5.291704272
103	5.283591243
104	5.275090733
105	5.26697382
106	5.257838497
107	5.250767263
108	5.243541984
109	5.237373102
110	5.229000994
111	5.22185677
112	5.217137169
113	5.210713439
114	5.205719984
115	5.197156897
116	5.193544386
117	5.185700986
118	5.181005302
119	5.176845588
120	5.173762017
121	5.171578761
122	5.166113243
123	5.1611872
124	5.155800072
125	5.148342781
126	5.139047681
127	5.134873059
128	5.127576377
129	5.121800587
130	5.112061602
131	5.106816197
132	5.097760892
133	5.090803485
134	5.087178087
135	5.080105749
136	5.075837109
137	5.073296759
138	5.068003668
139	5.064258978
140	5.05923927
141	5.057110895
142	5.051384485
143	5.047062459
144	5.0407123
145	5.03396924
146	5.030085491
147	5.025545502
148	5.022605342
149	5.021213747
150	5.015258126
151	5.010792239
152	5.006108444
153	4.99955382
154	4.993530608
155	4.988450703
156	4.983663324
157	4.975366123
158	4.969941718
159	4.964590376
160	4.96149071
161	4.959380326
162	4.954453316
163	4.950869579
164	4.947224665
165	4.941387183
166	4.937689328
167	4.93147552
168	4.929519307
169	4.92060219
170	4.91339445
171	4.909771953
172	4.906348459
173	4.903720546
174	4.898963346
175	4.89198926
176	4.887285481
177	4.883949695
178	4.879250462
179	4.87690999
180	4.871961245
181	4.867152107
182	4.862462563
183	4.857472979
184	4.853536959
185	4.849067072
186	4.845784993
187	4.843670839
188	4.838417564
189	4.835811795
190	4.830562004
191	4.823960428
192	4.820981715
193	4.815897707
194	4.812082167
195	4.808482415
196	4.803804336
197	4.798957236
198	4.795348289
199	4.793010088
200	4.788936754
201	4.785230694
202	4.783096578
203	4.779319034
204	4.775001708
205	4.770267846
206	4.763232213
207	4.7595226
208	4.75691719
209	4.754017063
210	4.751620418
211	4.748792055
212	4.746535508
213	4.743738231
214	4.742198677
215	4.738810156
216	4.735211954
217	4.733157534
218	4.729023186
219	4.725752643
220	4.72276238
221	4.719960824
222	4.715801769
223	4.709902954
224	4.705121055
225	4.701482361
226	4.699280705
227	4.695193084
228	4.692480835
229	4.690433548
230	4.687931985
231	4.684991719
232	4.681879639
233	4.67973302
234	4.677171161
235	4.671553321
236	4.667373353
237	4.666894463
238	4.664176135
239	4.660256953
240	4.658446789
241	4.656817224
242	4.650871976
243	4.650490461
244	4.646155525
245	4.643282207
246	4.641526189
247	4.639357741
248	4.634929958
249	4.631302449
250	4.629815251
251	4.626359911
252	4.621936935
253	4.617336282
254	4.614816652
255	4.610745077
256	4.610679672
257	4.607091753
258	4.606768794
259	4.601414385
260	4.597893542
261	4.592368826
262	4.588809203
263	4.585586465
264	4.578699921
265	4.575952201
266	4.571784172
267	4.570717463
268	4.567813474
269	4.565232308
270	4.557380972
271	4.554421438
272	4.549455406
273	4.54586204
274	4.541662711
275	4.538208092
276	4.535483625
277	4.532802258
278	4.529609513
279	4.523539728
280	4.519245246
281	4.516656302
282	4.515211613
283	4.511435004
284	4.509253677
285	4.507793427
286	4.504519392
287	4.501495084
288	4.496553831
289	4.496042375
290	4.493983339
291	4.490487873
292	4.484474166
293	4.481673657
294	4.478251036
295	4.474355371
296	4.472010592
297	4.468141401
298	4.466018848
299	4.463922989
300	4.459956109
301	4.456608263
302	4.456340723
303	4.452582991
304	4.449937035
305	4.44725799
306	4.443799519
307	4.441345533
308	4.436006474
309	4.434365318
310	4.428376405
311	4.425184272
312	4.422196746
313	4.41866567
314	4.415334547
315	4.413348862
316	4.410801077
317	4.410368796
318	4.40805112
319	4.401699082
320	4.401004119
321	4.399552114
322	4.397797983
323	4.394970142
324	4.39026363
325	4.384213873
326	4.382431843
327	4.379739182
328	4.376647026
329	4.373352923
330	4.370961994
331	4.368201177
332	4.363203864
333	4.357948989
334	4.353461792
335	4.35254561
336	4.348214535
337	4.344101217
338	4.34195657
339	4.338812368
340	4.338213151
341	4.335529637
342	4.3312323
343	4.329620676
344	4.328130775
345	4.324979039
346	4.324419694
347	4.323745718
348	4.32037008
349	4.31920989
350	4.314447137
351	4.310556944
352	4.309334251
353	4.307378438
354	4.303137284
355	4.298699685
356	4.295466881
357	4.292088738
358	4.287561846
359	4.286765267
360	4.286595566
361	4.285951609
362	4.285781987
363	4.282067128
364	4.279447489
365	4.277008423
366	4.271830459
367	4.269274663
368	4.266175868
369	4.265073801
370	4.263137171
371	4.260613129
372	4.258917397
373	4.25686975
374	4.256140985
375	4.251184245
376	4.250550139
377	4.246943349
378	4.2461362
379	4.242395025
380	4.237870894
381	4.233843723
382	4.231303391
383	4.23003732
384	4.226053951
385	4.220514921
386	4.216411015
387	4.213202822
388	4.208530403
389	4.205388007
390	4.204291776
391	4.20413435
392	4.202096344
393	4.199696084
394	4.196535664
395	4.194215907
396	4.190877746
397	4.189368331
398	4.188822823
399	4.185753485
400	4.183150312
401	4.1816226
402	4.179072356
403	4.175544313
404	4.173542999
405	4.171679238
406	4.16669555
407	4.163815074
408	4.159745987
409	4.159580369
410	4.157276542
411	4.155691607
412	4.152331299
413	4.1478143
414	4.14760137
415	4.145495443
416	4.144437259
417	4.141933572
418	4.140924668
419	4.138615575
420	4.135549833
421	4.131708723
422	4.129590024
423	4.127060312
424	4.123323683
425	4.120831327
426	4.116942057
427	4.113168003
428	4.112522976
429	4.110127895
430	4.107482645
431	4.105670535
432	4.10363365
433	4.100646493
434	4.096581331
435	4.096024043
436	4.095251798
437	4.090618257
438	4.086378759
439	4.08293798
440	4.08065807
441	4.077987099
442	4.077790208
443	4.077415044
444	4.075455418
445	4.071988058
446	4.067825679
447	4.066862284
448	4.063588011
449	4.058326418
450	4.055607476
451	4.05306353
452	4.050682901
453	4.045772014
454	4.044383866
455	4.041972371
456	4.040261808
457	4.038443372
458	4.036541075
459	4.034291386
460	4.032800773
461	4.029240619
462	4.025170179
463	4.020957327
464	4.018182624
465	4.015673301
466	4.01369804
467	4.011218342
468	4.009767353
469	4.007618391
470	4.00588059
471	4.003803084
472	4.000469658
473	3.99782324
474	3.994265546
475	3.990573723
476	3.986516456
477	3.983862137
478	3.981505649
479	3.978829486
480	3.975716151
481	3.97227618
482	3.970478296
483	3.966976005
484	3.965080452
485	3.962151443
486	3.961650757
487	3.960779124
488	3.955397751
489	3.954947574
490	3.952294477
491	3.949893267
492	3.947504667
493	3.945368057
494	3.944599463
495	3.94431559
496	3.942217351
497	3.940751182
498	3.938285096
499	3.933807592
500	3.930606493
501	3.928325538
502	3.922888392
503	3.919014603
504	3.915480383
505	3.913097356
506	3.911280761
507	3.908420314
508	3.90702284
509	3.904297581
510	3.903078454
511	3.901998137
512	3.899946215
513	3.895660582
514	3.894102385
515	3.892522471
516	3.888518966
517	3.885553789
518	3.882277288
519	3.879328266
520	3.876461377
521	3.874391688
522	3.87190363
523	3.869429241
524	3.865096475
525	3.863649124
526	3.860148778
527	3.85912242
528	3.857634474
529	3.854705081
530	3.848643244
531	3.847284188
532	3.846489985
533	3.84608994
534	3.844552069
535	3.842785987
536	3.839468778
537	3.83526108
538	3.831985018
539	3.829375945
540	3.829133362
541	3.828978575
542	3.824148635
543	3.822276642
544	3.821470457
545	3.819386736
546	3.81854213
547	3.81648725
548	3.816163045
549	3.813704976
550	3.809911495
551	3.809597817
552	3.805944143
553	3.803520617
554	3.7998387
555	3.797626254
556	3.79658831
557	3.794429887
558	3.792021882
559	3.789074758
560	3.785221173
561	3.784229692
562	3.782887494
563	3.781338934
564	3.779925106
565	3.779012898
566	3.778808561
567	3.776985394
568	3.775105073
569	3.77362012
570	3.772614393
571	3.769793581
572	3.769693196
573	3.767815519
574	3.767663147
575	3.76594911
576	3.764693097
577	3.76309267
578	3.759589601
579	3.756909266
580	3.755951326
581	3.754131113
582	3.752286099
583	3.750798248
584	3.74890837
585	3.746781494
586	3.744584568
587	3.740017087
588	3.736159254
589	3.735162803
590	3.735077395
591	3.734593252
592	3.733041354
593	3.731551116
594	3.730006186
595	3.725204776
596	3.724156687
597	3.723173784
598	3.721153048
599	3.718119542
600	3.713386964
601	3.712289331
602	3.710379091
603	3.705910963
604	3.70464136
605	3.702083613
606	3.700381844
607	3.69989764
608	3.698465591
609	3.697363665
610	3.694178789
611	3.694008573
612	3.692336037
613	3.689125014
614	3.686473671
615	3.685131834
616	3.685044866
617	3.682103625
618	3.681071702
619	3.679055506
620	3.67767381
621	3.677194612
622	3.674596048
623	3.672708993
624	3.669057784
625	3.667368553
626	3.667040998
627	3.665963222
628	3.665592986
629	3.664656675
630	3.663635026
631	3.659872747
632	3.658085895
633	3.655051859
634	3.651132826
635	3.647964597
636	3.64484666
637	3.643240991
638	3.640342692
639	3.63829693
640	3.635549137
641	3.631875459
642	3.631645545
643	3.630366241
644	3.626526881
645	3.624691176
646	3.623585162
647	3.621682854
648	3.620497374
649	3.619456455
650	3.616316146
651	3.614028534
652	3.612459361
653	3.60860506
654	3.607706042
655	3.606190383
656	3.604558571
657	3.604231302
658	3.601782745
659	3.59852298
660	3.596788453
661	3.595691958
662	3.592501434
663	3.591691569
664	3.588891412
665	3.584687669
666	3.583092594
667	3.582487068
668	3.579500648
669	3.579296771
670	3.577526236
671	3.577408573
672	3.575809377
673	3.574208447
674	3.573166149
675	3.57164628
676	3.568955898
677	3.568846996
678	3.568722872
679	3.565679893
680	3.564911444
681	3.562460892
682	3.561170029
683	3.559612226
684	3.557008883
685	3.556222907
686	3.554242166
687	3.552832301
688	3.551849134
689	3.550109952
690	3.549497844
691	3.54808725
692	3.545050874
693	3.542992411
694	3.540172936
695	3.537782646
696	3.536030551
697	3.535387984
698	3.533948211
699	3.533157667
700	3.531525038
701	3.52806128
702	3.527238863
703	3.527176574
704	3.524060441
705	3.523862907
706	3.521443738
707	3.517448946
708	3.515750032
709	3.515112462
710	3.514555193
711	3.512667531
712	3.512475085
713	3.510726376
714	3.509149627
715	3.50843214
716	3.504572702
717	3.502265746
718	3.499574219
719	3.494945779
720	3.492149271
721	3.491977976
722	3.490731164
723	3.490055605
724	3.488102111
725	3.485992049
