iter	Passed	Remaining
0	0	746
1	1	681
2	2	678
3	2	663
4	3	672
5	4	706
6	4	695
7	5	685
8	6	681
9	6	671
10	7	665
11	8	659
12	8	657
13	9	658
14	9	656
15	10	653
16	11	641
17	11	640
18	12	639
19	13	638
20	13	636
21	14	634
22	14	633
23	15	629
24	16	628
25	16	626
26	17	626
27	18	626
28	18	624
29	19	623
30	19	622
31	20	622
32	21	621
33	21	620
34	22	620
35	23	618
36	23	616
37	24	615
38	24	614
39	25	614
40	26	617
41	27	615
42	27	616
43	28	616
44	28	615
45	29	614
46	30	614
47	30	613
48	31	614
49	32	613
50	32	612
51	33	612
52	34	611
53	34	610
54	35	609
55	36	608
56	36	607
57	37	605
58	37	604
59	38	602
60	39	602
61	39	604
62	40	604
63	41	603
64	41	602
65	42	601
66	43	600
67	43	600
68	44	598
69	45	598
70	45	596
71	46	596
72	46	596
73	47	596
74	48	596
75	48	595
76	49	594
77	50	593
78	50	592
79	51	591
80	51	589
81	52	589
82	53	589
83	53	588
84	54	588
85	55	587
86	56	588
87	56	588
88	57	588
89	58	588
90	58	587
91	59	586
92	60	585
93	60	585
94	61	584
95	62	583
96	62	583
97	63	583
98	64	584
99	64	584
100	65	584
101	66	583
102	67	583
103	67	583
104	68	582
105	68	581
106	69	581
107	70	581
108	71	581
109	71	581
110	72	580
111	73	579
112	73	578
113	74	576
114	74	575
115	75	574
116	75	572
117	76	571
118	77	571
119	77	571
120	78	571
121	79	569
122	79	568
123	80	567
124	80	566
125	81	565
126	82	564
127	82	562
128	83	561
129	83	560
130	84	560
131	85	560
132	85	559
133	86	559
134	87	562
135	88	561
136	88	560
137	89	558
138	89	556
139	90	555
140	90	554
141	91	552
142	92	551
143	92	550
144	93	550
145	94	550
146	94	549
147	95	549
148	96	548
149	96	546
150	97	546
151	97	545
152	98	545
153	99	545
154	99	544
155	100	544
156	101	545
157	102	544
158	102	544
159	103	543
160	104	542
161	104	541
162	105	540
163	106	540
164	106	539
165	107	539
166	108	539
167	109	542
168	110	542
169	110	541
170	111	540
171	112	539
172	112	538
173	113	537
174	114	537
175	115	538
176	115	538
177	116	538
178	117	537
179	118	537
180	118	537
181	119	537
182	120	536
183	120	536
184	121	535
185	122	535
186	123	535
187	124	536
188	125	536
189	125	535
190	126	535
191	127	535
192	127	534
193	128	533
194	128	531
195	129	531
196	130	531
197	131	531
198	131	530
199	132	530
200	133	529
201	133	528
202	134	527
203	134	526
204	135	525
205	135	524
206	136	522
207	137	522
208	138	522
209	138	522
210	139	522
211	140	521
212	140	520
213	141	519
214	142	518
215	142	517
216	143	516
217	143	515
218	144	514
219	145	514
220	145	513
221	146	513
222	147	513
223	148	513
224	148	512
225	149	511
226	149	510
227	150	509
228	150	508
229	151	507
230	152	507
231	152	506
232	153	506
233	154	505
234	155	504
235	155	504
236	156	503
237	156	502
238	157	501
239	158	500
240	158	499
241	159	498
242	160	498
243	160	497
244	161	497
245	162	496
246	162	495
247	163	494
248	163	493
249	164	492
250	164	492
251	165	491
252	166	490
253	166	489
254	167	489
255	168	489
256	168	488
257	169	487
258	170	488
259	171	487
260	172	487
261	172	486
262	173	485
263	173	484
264	174	483
265	175	483
266	175	482
267	176	482
268	177	481
269	177	481
270	178	480
271	179	480
272	180	479
273	180	478
274	181	477
275	181	477
276	182	477
277	183	476
278	184	476
279	185	475
280	185	475
281	186	474
282	187	474
283	187	473
284	188	472
285	188	471
286	189	470
287	190	470
288	190	469
289	191	469
290	192	468
291	193	468
292	193	467
293	194	466
294	194	465
295	195	465
296	196	464
297	196	464
298	197	463
299	198	463
300	199	462
301	200	462
302	201	462
303	201	462
304	202	461
305	203	460
306	203	459
307	204	459
308	205	458
309	205	458
310	206	457
311	207	457
312	208	456
313	208	456
314	209	456
315	210	455
316	211	454
317	211	454
318	212	453
319	213	453
320	213	452
321	214	452
322	215	451
323	216	451
324	216	450
325	217	449
326	218	449
327	218	448
328	219	447
329	220	447
330	221	447
331	222	447
332	222	446
333	223	445
334	224	445
335	224	444
336	225	443
337	226	442
338	226	441
339	227	441
340	227	440
341	228	439
342	229	439
343	230	439
344	230	438
345	231	437
346	232	436
347	232	435
348	233	435
349	233	434
350	234	433
351	234	432
352	235	432
353	236	431
354	237	431
355	238	430
356	238	430
357	239	429
358	239	428
359	240	427
360	241	426
361	241	425
362	242	425
363	242	424
364	243	424
365	244	423
366	245	422
367	245	422
368	246	421
369	247	420
370	247	420
371	248	419
372	249	418
373	249	417
374	250	417
375	251	416
376	251	416
377	252	415
378	253	415
379	253	414
380	254	413
381	255	412
382	255	412
383	256	411
384	257	410
385	258	410
386	258	409
387	259	409
388	260	409
389	261	408
390	261	407
391	262	406
392	262	405
393	263	405
394	263	404
395	264	403
396	265	402
397	265	401
398	266	401
399	267	400
400	267	400
401	268	399
402	269	398
403	269	397
404	270	396
405	270	396
406	271	395
407	271	394
408	272	393
409	273	392
410	273	392
411	274	391
412	275	390
413	275	390
414	276	389
415	276	388
416	277	387
417	277	386
418	278	386
419	279	385
420	279	384
421	280	383
422	280	383
423	281	382
424	282	381
425	282	381
426	283	380
427	284	379
428	284	379
429	285	378
430	286	377
431	286	377
432	287	376
433	288	375
434	288	375
435	289	374
436	290	374
437	291	373
438	291	372
439	292	372
440	293	371
441	293	370
442	294	370
443	294	369
444	295	368
445	296	368
446	297	367
447	297	367
448	298	366
449	299	365
450	299	364
451	300	363
452	300	363
453	301	362
454	301	361
455	302	360
456	303	360
457	304	359
458	304	359
459	305	358
460	306	357
461	306	357
462	307	356
463	308	355
464	308	355
465	309	354
466	309	353
